,MMSI,type,zone,entryTime,entryLatitude,entryLongitude,entryDraft,leaveTime,leaveLatitude,leaveLongitude,leaveDraft,distance,actTimeInZone,avg_speed,Temperature [2 m elevation corrected] (°C),Relative Humidity [2 m] (%),Mean Sea Level Pressure [MSL] (hPa),Precipitation Total (mm),Snowfall Amount (cm),Cloud Cover Total (%),Cloud Cover High [high cld lay] (%),Cloud Cover Medium [mid cld lay] (%),Cloud Cover Low [low cld lay] (%),Wind Speed [10 m] (km/h),Wind Direction [10 m] (°),Wind Speed [80 m] (km/h),Wind Direction [80 m] (°),Wind Speed [900 mb] (km/h),Wind Direction [900 mb] (°),Wind Speed [850 mb] (km/h),Wind Direction [850 mb] (°),Geopotential Height [1000 mb] (Gpm),Geopotential Height [850 mb] (Gpm),Temperature [1000 mb] (°C),Temperature [850 mb] (°C)
0,209087000,Cargo ship,Japan,1570571879,41.613645,142.968627,13.5,1570572005,41.614692,142.982897,13.5,1.1920082000421217,126,34.05737714406062,15.11468912037037,81.99994488536154,1004.4080665784834,0.1967695105820106,0.0,100.0,0.0,0.9683201058201053,100.0,50.108516148757715,227.61920828786376,78.89794055698853,227.6215682344026,95.84926918483795,233.39217264354056,110.4308557027337,245.75312896041663,37.06452711640212,1373.032332451499,13.623401333774252,1.8182242835097004
1,210970000,Cargo ship,Japan,1584880119,41.562267,142.9645,12.8,1584880550,41.563933,142.932717,12.8,2.6507911050557604,431,22.14117860371401,6.138012499999999,71.22416666666666,1006.2149444444444,0.0,0.0,75.29888888888888,0.0,20.81875,75.29888888888888,19.749501511111113,285.165375725,29.30823984388889,286.2064748083333,24.17083938333333,281.0212789013889,23.512268390416665,273.3027620222222,50.07472222222221,1349.537361111111,5.382781944444445,-5.232241666666667
2,218042000,Cargo ship,Japan,1560913953,41.615987,142.930195,12.4,1560914941,41.616225,143.045243,12.4,9.564044951423986,988,34.84874678656513,9.435422222222222,95.0,1010.4614444444444,0.0,0.0,100.0,100.0,30.927777777777777,100.0,8.631824251666666,110.44262337777778,18.440369307222223,143.6368739583333,19.356390445833334,179.97165935833337,23.25965088638889,203.13733844166666,86.30722222222222,1452.653611111111,11.08756388888889,9.831627777777777
3,219228000,Cargo ship,Japan,1568478505,41.616233,143.04528,14.6,1568478601,41.616855,143.055958,14.6,0.8903528870903626,96,33.3882332658886,20.623825,89.0,1012.6026111111111,0.0,0.0,100.0,0.0,16.556111111111115,100.0,27.41671290472222,187.53347408888894,44.31958506944445,187.69613390833334,32.79637246361111,216.32478830555556,28.894292813333333,223.40091276111107,107.51305555555557,1492.5130555555559,19.643302777777777,11.90121388888889
4,219228000,Cargo ship,Japan,1586616672,41.622782,142.964218,UNK,1586617698,41.6096,143.081577,UNK,9.865605501723044,1026,34.61615965516857,2.4018688109161794,91.69808966861598,1017.7962261208576,0.0,0.0,100.0,0.0,0.0,100.0,22.974707175038986,35.65753284765595,34.164793132461014,35.83128004438597,30.13793413910819,278.9966512455653,47.46417445978071,272.52717009351846,141.0,1428.0041666666666,0.4610283138401558,-6.594602436647173
5,219802000,Cargo ship,Japan,1585321613,41.612253,142.97512700000001,14.9,1585322105,41.613427,143.0315,14.9,4.6883761838747215,492,34.30519158932724,9.370575,93.36611111111111,1003.7450833333332,0.4,0.0,100.0,87.73527777777778,100.0,100.0,25.98852418138889,195.51246811666664,47.99988108611112,196.0705594472222,62.72118908777777,245.7230818611111,56.4781094075,241.89542005277778,30.63388888888889,1378.0847222222224,9.562269444444446,6.5071861111111104
6,220129000,Cargo ship,Japan,1569666172,41.613915000000006,142.912703,11.9,1569667359,41.618805,143.035677,11.9,10.2373113807648,1187,31.048290624054996,18.474133333333334,92.90805555555556,1020.7454027777778,0.0,0.0,51.95444444444445,63.41986111111111,0.0,51.95444444444445,16.200171955972223,237.00693560555553,24.581313615,236.626866025,21.59261561375,284.46557874999996,18.88317664472222,282.77554089583333,174.0,1558.0,16.973327777777776,13.897241666666668
7,220129000,Cargo ship,Japan,1569667359,41.618805,143.035677,11.9,1569667756,41.621063,143.075628,11.9,3.330431131798029,397,30.200383059125702,18.685333333333332,92.46805555555557,1020.7234027777778,0.0,0.0,32.59444444444445,48.67986111111111,0.0,32.59444444444445,15.877210415972222,237.99023880555555,24.098454975000003,237.64898162500003,21.256334393749995,282.74891875000003,18.738456684722223,280.9048698958333,174.0,1558.0,17.228527777777778,13.884041666666665
8,220129000,Cargo ship,Japan,1583016026,41.614915,142.92247,12.7,1583017062,41.61853,143.011428,12.7,7.405977498587008,1036,25.73505694489694,-0.6336,96.0,1016.472888888889,1.2453333333333334,0.8717333088,100.0,0.0,0.36444444444444446,100.0,31.022751133333333,73.8774646,50.140352480000004,74.96145486666666,63.45714082666667,118.43143458222221,69.65636897777777,159.57894493333333,129.54666666666668,1406.7288888888888,-1.9217777777777778,-5.5972888888888885
9,220129000,Cargo ship,Japan,1583017062,41.61853,143.011428,12.7,1583017886,41.622043,143.08281499999998,12.7,5.946902406018539,824,25.98161245347906,-0.6465382618662352,96.0,1016.4409445118662,1.3307654395900756,0.9315357801889832,100.0,0.0,0.006419902912621359,100.0,30.919427320974243,72.59183435970537,49.99883616027778,73.76087055385315,64.21542944726605,116.83263218391652,70.00630716351469,158.32644469991237,129.32691410463863,1406.2508029935275,-1.9349197411003236,-5.651205616235167
