location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
lat,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488,41.62488
lon,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389,143.06389
asl,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Wind Speed,Wind Direction,Geopotential Height,Geopotential Height,Temperature,Temperature
unit,°C,%,hPa,mm,cm,%,%,%,%,km/h,°,km/h,°,km/h,°,km/h,°,Gpm,Gpm,°C,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,high cld lay,mid cld lay,low cld lay,10 m,10 m,80 m,80 m,900 mb,900 mb,850 mb,850 mb,1000 mb,850 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,41.6°N 143.01°E Temperature [2 m elevation corrected],41.6°N 143.01°E Relative Humidity [2 m],41.6°N 143.01°E Mean Sea Level Pressure [MSL],41.6°N 143.01°E Precipitation Total,41.6°N 143.01°E Snowfall Amount,41.6°N 143.01°E Cloud Cover Total,41.6°N 143.01°E Cloud Cover High [high cld lay],41.6°N 143.01°E Cloud Cover Medium [mid cld lay],41.6°N 143.01°E Cloud Cover Low [low cld lay],41.6°N 143.01°E Wind Speed [10 m],41.6°N 143.01°E Wind Direction [10 m],41.6°N 143.01°E Wind Speed [80 m],41.6°N 143.01°E Wind Direction [80 m],41.6°N 143.01°E Wind Speed [900 mb],41.6°N 143.01°E Wind Direction [900 mb],41.6°N 143.01°E Wind Speed [850 mb],41.6°N 143.01°E Wind Direction [850 mb],41.6°N 143.01°E Geopotential Height [1000 mb],41.6°N 143.01°E Geopotential Height [850 mb],41.6°N 143.01°E Temperature [1000 mb],41.6°N 143.01°E Temperature [850 mb]
20171201T0000,-0.52,82.0,1018.3,0.1,0.07,100.0,0.0,0.0,100.0,20.387869,276.75357,31.035257,273.9909,39.961617,259.09497,57.726986,252.58203,143.0,1400.0,-3.2,-14.54
20171201T0100,-0.69,86.0,1018.3,0.1,0.07,100.0,0.0,0.0,100.0,20.806505,283.32452,30.574575,282.2361,43.17899,262.81573,58.740704,258.69006,143.0,1398.0,-3.42,-14.89
20171201T0200,-0.69,84.0,1018.0,0.0,0.0,100.0,0.0,0.0,100.0,21.967905,284.03625,32.654995,284.03625,45.070503,273.2052,59.404366,269.30554,141.0,1395.0,-3.43,-15.31
20171201T0300,-0.23,80.0,1017.4,0.0,0.0,100.0,0.0,0.0,100.0,24.82671,273.6914,36.78347,273.36646,45.451336,266.36707,59.56885,262.3596,136.0,1394.0,-2.9,-14.67
20171201T0400,0.09,78.0,1017.1,0.1,0.07,100.0,0.0,0.0,100.0,26.90772,270.56726,39.601635,270.52084,45.958904,264.15546,61.8205,256.5302,134.0,1393.0,-2.6,-14.29
20171201T0500,0.11,78.0,1017.5,0.2,0.14,100.0,0.0,0.0,100.0,27.205427,272.80637,39.98594,272.06384,44.84854,264.47247,60.604156,256.95438,137.0,1396.0,-2.61,-14.25
20171201T0600,-0.03,78.0,1017.7,0.2,0.14,100.0,0.0,0.0,100.0,25.31781,278.47116,37.114933,278.3659,41.76155,269.5061,58.610382,257.5857,139.0,1397.0,-2.75,-14.34
20171201T0700,-0.18,77.0,1018.3,0.2,0.14,100.0,0.0,0.0,100.0,25.341629,282.13684,36.509396,282.5288,39.763298,275.19443,54.88318,262.0825,143.0,1401.0,-2.94,-14.56
20171201T0800,-0.24,77.0,1018.8,0.2,0.14,100.0,0.0,0.0,100.0,26.179138,282.33908,37.99322,282.5877,39.205303,277.38605,51.8425,263.22043,147.0,1404.0,-3.09,-14.79
20171201T0900,-0.36,78.0,1019.5,0.2,0.14,100.0,0.0,0.0,100.0,27.481844,281.74564,40.031284,281.41098,41.036842,277.56143,51.40442,263.97,152.0,1408.0,-3.29,-15.0
20171201T1000,-0.43,78.0,1020.1,0.2,0.14,100.0,0.0,0.0,100.0,28.998466,280.58734,42.438793,280.26138,45.206886,275.48358,56.53261,263.41806,157.0,1411.0,-3.51,-15.26
20171201T1100,-0.6,78.0,1020.7,0.2,0.14,100.0,0.0,0.0,100.0,29.876024,278.20236,43.582306,277.59464,46.529213,273.54868,58.537373,265.0608,162.0,1414.0,-3.78,-15.66
