"MMSI","type","zone","entryTime","entryLatitude","entryLongitude","entryDraft","leaveTime","leaveLatitude","leaveLongitude","leaveDraft"
"431009991","Cargo ship","Japan","1512129291","41.634718","142.913972","4.0","1512129291","41.634718","142.913972","4.0"
"273395490","Cargo ship","Japan","1512139350","41.638033","143.04049","5.8","1512139350","41.638033","143.04049","5.8"
"564071000","Cargo ship","Japan","1512235415","41.61769","143.01921","10.4","1512235415","41.61769","143.01921","10.4"
"309805000","Cargo ship","Japan","1512295720","41.621667","142.931167","8.7","1512295720","41.621667","142.931167","8.7"
"309805000","Cargo ship","Japan","1512296991","41.613667","143.040667","8.7","1512296991","41.613667","143.040667","8.7"
"309805000","Cargo ship","Japan","1512297069","41.612833","143.047167","8.7","1512297069","41.612833","143.047167","8.7"
"431004914","Tanker","Japan","1512367197","41.597627","142.966557","4.7","1512367197","41.597627","142.966557","4.7"
"229004000","Tanker","Newfoundland","1512571849","46.248065","-53.32257","6.9","1512571849","46.248065","-53.32257","6.9"
"316030648","Tanker","Newfoundland","1512672689","46.279838","-53.304492","9.2","1512672689","46.279838","-53.304492","9.2"
"636092604","Cargo ship","Japan","1512813139","41.549183","143.073517","10.8","1512813139","41.549183","143.073517","10.8"
"431101148","Cargo ship","Japan","1513034256","41.629268","143.019475","6.7","1513034256","41.629268","143.019475","6.7"
"316012550","Tanker","Newfoundland","1513055058","46.249167","-53.288833","13.0","1513055058","46.249167","-53.288833","13.0"
"477776300","Cargo ship","Newfoundland","1513076175","46.247222","-53.345538","10.2","1513076175","46.247222","-53.345538","10.2"
"316030648","Cargo ship","Newfoundland","1513136200","46.291367","-53.271205","9.4","1513136200","46.291367","-53.271205","9.4"
"431256000","Cargo ship","Japan","1513205900","41.63546","142.94878","6.7","1513205900","41.63546","142.94878","6.7"
"440366000","Cargo ship","Japan","1513364652","41.54489","142.954172","7.8","1513364652","41.54489","142.954172","7.8"
"310750000","Cargo ship","Newfoundland","1513435449","46.26575","-53.327167","9.8","1513435449","46.26575","-53.327167","9.8"
"310750000","Cargo ship","Newfoundland","1513435883","46.26865","-53.38075","9.8","1513435883","46.26865","-53.38075","9.8"
